op,size,cycles,rd,rd_mem,rs,rs_mem,z_f,n_f,h_f,c_f,insn_str
RETI,1,16,,0,,0,-,-,-,-,RETI
JP,3,16,C,0,a16,0,-,-,-,-,"JP C,a16"
INVALID,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CALL,3,24,C,0,a16,0,-,-,-,-,"CALL C,a16"
INVALID,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SBC,2,8,A,0,d8,0,Z,1,H,C,"SBC A,d8"
RST,1,16,18H,0,,0,-,-,-,-,RST 18H
LDH,2,12,a8,1,A,0,-,-,-,-,"LDH (a8),A"
POP,1,12,HL,0,,0,-,-,-,-,POP HL
LD,2,8,C,1,A,0,-,-,-,-,"LD (C),A"
INVALID,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
INVALID,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PUSH,1,16,HL,0,,0,-,-,-,-,PUSH HL
AND,2,8,d8,0,,0,Z,0,1,0,AND d8
RST,1,16,20H,0,,0,-,-,-,-,RST 20H
ADD,2,16,SP,0,r8,0,0,0,H,C,"ADD SP,r8"
JP,1,4,HL,1,,0,-,-,-,-,JP (HL)
LD,3,16,a16,1,A,0,-,-,-,-,"LD (a16),A"
INVALID,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
INVALID,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
INVALID,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
XOR,2,8,d8,0,,0,Z,0,0,0,XOR d8
RST,1,16,28H,0,,0,-,-,-,-,RST 28H
LDH,2,12,A,0,a8,1,-,-,-,-,"LDH A,(a8)"
POP,1,12,AF,0,,0,Z,N,H,C,POP AF
LD,2,8,A,0,C,1,-,-,-,-,"LD A,(C)"
DI,1,4,,0,,0,-,-,-,-,DI
INVALID,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PUSH,1,16,AF,0,,0,-,-,-,-,PUSH AF
OR,2,8,d8,0,,0,Z,0,0,0,OR d8
RST,1,16,30H,0,,0,-,-,-,-,RST 30H
LD,2,12,HL,0,SP+r8,0,0,0,H,C,"LD HL,SP+r8"
LD,1,8,SP,0,HL,0,-,-,-,-,"LD SP,HL"
LD,3,16,A,0,a16,1,-,-,-,-,"LD A,(a16)"
EI,1,4,,0,,0,-,-,-,-,EI
INVALID,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
INVALID,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CP,2,8,d8,0,,0,Z,1,H,C,CP d8
RST,1,16,38H,0,,0,-,-,-,-,RST 38H
